source,geneTarget,signatureName,PMID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALK,STAT3,140.138.144.141/~RegPhos/download/RegPhos,18083107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALK4,TYDP2,140.138.144.141/~RegPhos/download/RegPhos,18039968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALK4,TYDP2,140.138.144.141/~RegPhos/download/RegPhos,18039968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alternate,MP2K2,140.138.144.141/~RegPhos/download/RegPhos,17116858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMPK_group,AAPK1,140.138.144.141/~RegPhos/download/RegPhos,8910387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMPK_group,AAPK2,140.138.144.141/~RegPhos/download/RegPhos,10642499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMPK_group,ACACA,140.138.144.141/~RegPhos/download/RegPhos,18669648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMPK_group,ACACA,140.138.144.141/~RegPhos/download/RegPhos,7907095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMPK_group,ACACB,140.138.144.141/~RegPhos/download/RegPhos,12488245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMPK_group,CASP6,140.138.144.141/~RegPhos/download/RegPhos,15273717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMPK_group,CRTC2,140.138.144.141/~RegPhos/download/RegPhos,15454081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMPK_group,EF2K,140.138.144.141/~RegPhos/download/RegPhos,14709557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMPK_group,EF2K,140.138.144.141/~RegPhos/download/RegPhos,14709557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMPK_group,EF2K,140.138.144.141/~RegPhos/download/RegPhos,14709557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMPK_group,EP300,140.138.144.141/~RegPhos/download/RegPhos,11518699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMPK_group,EP300,140.138.144.141/~RegPhos/download/RegPhos,15006641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMPK_group,EPM2A,140.138.144.141/~RegPhos/download/RegPhos,21728993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMPK_group,F262,140.138.144.141/~RegPhos/download/RegPhos,11069105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMPK_group,F262,140.138.144.141/~RegPhos/download/RegPhos,18669648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMPK_group,F263,140.138.144.141/~RegPhos/download/RegPhos,12065600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMPK_group,F263,140.138.144.141/~RegPhos/download/RegPhos,18669648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMPK_group,FOXO3,140.138.144.141/~RegPhos/download/RegPhos,17711846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMPK_group,FOXO3,140.138.144.141/~RegPhos/download/RegPhos,17711846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMPK_group,FOXO3,140.138.144.141/~RegPhos/download/RegPhos,17711846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMPK_group,FOXO3,140.138.144.141/~RegPhos/download/RegPhos,17711846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMPK_group,FOXO3,140.138.144.141/~RegPhos/download/RegPhos,17711846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMPK_group,FOXO3,140.138.144.141/~RegPhos/download/RegPhos,17711846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMPK_group,HDAC5,140.138.144.141/~RegPhos/download/RegPhos,11114197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMPK_group,HDAC5,140.138.144.141/~RegPhos/download/RegPhos,11114197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMPK_group,HNF4A,140.138.144.141/~RegPhos/download/RegPhos,12740371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMPK_group,HNF4A,140.138.144.141/~RegPhos/download/RegPhos,12740371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMPK_group,IMA2,140.138.144.141/~RegPhos/download/RegPhos,15342649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMPK_group,IRS1,140.138.144.141/~RegPhos/download/RegPhos,12624099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMPK_group,IRS1,140.138.144.141/~RegPhos/download/RegPhos,20135346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMPK_group,KLC1,140.138.144.141/~RegPhos/download/RegPhos,18669648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMPK_group,KLC1,140.138.144.141/~RegPhos/download/RegPhos,18669648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMPK_group,LIPS,140.138.144.141/~RegPhos/download/RegPhos,15308678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMPK_group,P53,140.138.144.141/~RegPhos/download/RegPhos,10570149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMPK_group,RPTOR,140.138.144.141/~RegPhos/download/RegPhos,18220336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMPK_group,RPTOR,140.138.144.141/~RegPhos/download/RegPhos,18439900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMPK_group,TSC2,140.138.144.141/~RegPhos/download/RegPhos,14651849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMPK_group,TSC2,140.138.144.141/~RegPhos/download/RegPhos,14651849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
